n_items,n_distinct_skus,total_weight_kg,max_fragility,avg_fragility,n_fragile_items,n_temperature_sensitive_items,avg_historical_damage_rate,distance_km,warehouse_load_ratio,is_peak_hour,picker_experience_years,picker_avg_quality_score,picker_avg_picking_speed,rider_experience_years,rider_avg_rating,hour_of_day,had_quality_issue
3,1,1.7,95.50678767558736,57.44855208820353,1,0,0.08036764446321372,0.5,0.42369598532046854,0,0.756330324984678,82.44467843958388,5.6050677740925074,2.38659952209151,4.423196219988057,14,0
19,13,4.79,25.282795495490078,17.697798450954068,2,3,0.00819190334014984,7.04,0.5810639523950577,0,1.5711646475102605,80.95505740863302,2.720241684873676,2.50207876349009,4.641662938496058,1,1
16,6,5.94,32.32836734971566,3.3708359947284308,0,4,0.10109721294979043,2.79,0.264687293022764,1,5.1808474911824955,94.0425840400692,9.817564794275736,2.6134044777481558,4.7590479723352015,10,0
11,7,8.98,81.12543711732619,59.12287274668965,4,2,0.15279992631078188,5.82,0.8184316022731835,0,1.5066147241902867,72.00378532577723,4.989355514295607,3.7544161502360365,4.584186273385657,12,1
11,8,10.73,94.05319251954161,54.90487972989878,4,2,0.1598387132771184,4.92,0.2353680671252349,1,3.818065066396363,74.40186491181936,5.543379950622281,0.05,4.126985242632868,21,0
21,14,20.08,77.78173499898973,38.01947748701615,5,1,0.0643895434059642,11.96,0.6971616947318411,0,1.7507074077533888,84.6400353740225,5.4280418965159924,1.827920071444516,5.0,15,0
3,1,2.35,58.596046490121026,26.848122473163862,0,0,0.13363327412887288,4.47,0.2908678141525676,0,0.8414213294544381,77.12144627080086,9.827654047112265,0.05,4.425190776364357,16,0
17,13,4.84,6.931460231362581,2.7932176068293018,0,3,0.039139989590352836,9.26,0.35573300567278404,0,0.48810724082380164,77.64656645524809,7.429509630948064,2.601181263376291,4.0291401186347295,7,0
5,3,1.09,72.84308754939545,54.08280977632705,1,0,0.05939817841126632,8.84,0.4322748505111262,0,2.952417168430657,77.46202662602278,7.70057660896601,1.0385364160750017,4.786816388472133,17,0
3,1,2.95,95.27549145351117,61.094972529250015,1,0,0.10391148480388245,0.53,0.9553251238065623,0,4.15429366815989,87.22580833099877,8.300948863694066,2.214301315160388,4.515847623329919,2,1
13,11,9.74,45.599298216844474,20.05996657319372,1,0,0.059917279085599365,6.75,0.6669033473953393,0,2.8507740819733347,93.36118764701092,7.922640901211248,0.841954822658713,5.0,4,0
24,18,23.59,53.38158452309314,18.222808783728293,3,0,0.005,2.97,0.6570350959838867,0,2.4751149701901705,81.17540205552375,6.960341402060787,0.772353784899366,5.0,5,0
18,16,6.53,94.27801075001284,62.303362350193666,8,5,0.12999530942932008,1.17,0.896851754026463,0,0.23096903444059436,79.29333319637924,6.901425624641618,1.348051072460986,4.24119767076239,11,1
19,16,11.54,33.39740104175451,20.878981816343398,2,0,0.030283766808956614,1.18,0.46897260896218906,0,2.070194462191379,88.64410685463558,9.259226003515547,2.122845038346743,3.911567120994197,1,0
18,15,20.15,81.94193974770512,74.13932457284042,9,0,0.04880142545421723,9.29,0.05,0,2.3574939968547075,84.06667362626564,4.381239082448646,3.0296736614225015,4.200368523931887,12,0
19,14,7.06,45.50341730079455,32.60086132695438,4,0,0.14349336134655744,16.57,0.31537725340555095,1,0.6610550783209759,83.58817798552356,4.971004202097442,0.8944386744556114,3.4741643282902173,21,0
13,9,3.4,54.333442091076854,26.495642448933708,2,4,0.11222751843064785,2.78,0.5999267471438733,1,2.7636521321231884,93.33654317330388,7.72997600508104,2.207298226256988,4.414155098107232,9,1
4,1,3.41,55.234975072384245,35.99237602669473,1,0,0.09056666818630195,6.86,0.6828667917503749,0,0.9668573548390262,71.33302900829224,7.156035081053305,2.6077627803259036,4.792919809702087,0,0
21,14,16.69,28.248030017679156,26.494101843991565,3,2,0.005,7.24,0.8955619346748053,0,1.4413872303545452,79.36732319826052,5.936979686463149,1.2648996402443413,4.409779407952607,6,0
11,8,12.67,89.4757517750963,59.776672499648996,4,0,0.010201982064227122,3.88,0.6491663113536561,0,3.30740188607673,72.19128831485025,10.839870594437489,2.5690502323903934,4.591568994331663,1,0
13,8,14.38,56.27569772893304,54.48782307065851,5,1,0.10383945702382763,11.63,1.0559229004517874,0,4.6284929463914795,76.63645341236385,4.423600225119377,0.05515720458324669,4.7088610492323735,15,0
9,7,8.54,75.31050890643408,58.938338440518294,3,0,0.11780190276257069,14.79,0.826534536866112,1,4.489099632267443,69.25103143329845,6.643590712635751,0.6446985550303563,4.997587319898988,19,1
5,2,1.1,57.550809260130116,39.059434295269384,1,1,0.09518116160778912,3.61,0.20715832071834128,0,1.8447899074893506,78.21837107738077,7.0607829087771385,3.58929732832132,4.466257507188504,6,0
23,13,15.65,45.081275099008366,24.960201037216017,4,6,0.051575608810253915,12.94,0.05,0,2.9502935144102413,85.70129201588976,5.82049346086066,0.05,4.31287236164818,7,1
19,12,20.83,40.364227366206336,34.800591836589874,4,5,0.04960367633876436,3.81,0.34740583163499844,0,3.0887518026632534,55.68878381643948,5.349456917373701,1.4904620949447374,4.1716869484057675,7,1
16,9,10.14,55.54627783779171,25.63467058545397,2,4,0.09294986341881935,2.12,0.748243250366953,1,3.0793424288913402,78.7356493963951,5.995913320331605,2.1042147313438666,5.0,8,0
10,4,11.62,100.0,67.26512329002512,4,1,0.005,5.44,0.8298660299404983,0,2.278737865780949,81.10184859933867,9.408686056292321,2.3661283500157264,4.163484208548296,16,1
20,9,17.05,84.96604399514152,57.050021923569226,8,1,0.08550134103211307,9.48,0.6630944410606587,0,4.149671786735274,79.24397097296198,5.856915658962285,2.4231111541534642,5.0,7,1
